@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %03s "SPS"
@ PARTICLE         %06s "PROTON"
@ MASS             %le        0.9382720814
@ CHARGE           %le                   1
@ ENERGY           %le         270.0016303
@ PC               %le                 270
@ GAMMA            %le         287.7647493
@ KBUNCH           %le                   1
@ BCURRENT         %le      0.000694949581
@ SIGE             %le              0.0006
@ SIGT             %le        0.2098546932
@ NPART            %le               1e+11
@ EX               %le      2.08504907e-08
@ EY               %le      2.08504907e-08
@ ET               %le               0.001
@ LENGTH           %le          128.375535
@ ALFA             %le     0.0003498204231
@ ORBIT5           %le                  -0
@ GAMMATR          %le         53.46596621
@ Q1               %le        0.3886145044
@ Q2               %le        0.3890673087
@ DQ1              %le       -0.2591878917
@ DQ2              %le       -0.5076397131
@ DXMAX            %le         1.808508959
@ DYMAX            %le                   0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         108.5871488
@ BETYMAX          %le         108.7705904
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le         1.293396519
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %06s "SPSUA9"
@ ORIGIN           %16s "5.03.07 Linux 64"
@ DATE             %08s "29/01/19"
@ TIME             %08s "14.22.04"
* KEYWORD            NAME                                S                  L                  X                  Y               BETX               BETY               ALFX               ALFY                MUX                MUY                 DX                 DY                DPX                DPY 
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le 
 "MARKER"            "AP3.UP.MDHW.51836"             9.37265                  0                  0                  0         88.5204474        35.76955699        1.694557272       -0.749969666      0.01502704875       0.0472961254        1.666181516                  0     -0.02575246627                  0
 "DRIFT"             "DRIFT_12"                    9.372655    1.000000066e-05                  0                  0        88.52043046        35.76956449        1.694557054      -0.7499698844      0.01502705774      0.04729614764        1.666181387                  0     -0.02575246627                  0
 "MARKER"            "AP4.UP.MDHW.51836"             9.37266                  0                  0                  0        88.52041351        35.76957199        1.694556835      -0.7499701028      0.01502706673      0.04729616989        1.666181259                  0     -0.02575246627                  0
 "DRIFT"             "DRIFT_13"                    9.699155            0.65299                  0                  0        87.41854705        36.26395133        1.680277271      -0.7642317718       0.0156177765       0.0487389767        1.657773207                  0     -0.02575246627                  0
 "HKICKER"           "MDHW.51836"                  10.02565                  0                  0                  0          86.326005         36.7676434        1.665997708      -0.7784934408      0.01621594711      0.05016206547        1.649365156                  0     -0.02575246627                  0
 "DRIFT"             "DRIFT_14"                    10.55515              1.059                  0                  0        84.57397568        37.60431484        1.642839532      -0.8016225967      0.01720222587      0.05242853058        1.635729225                  0     -0.02575246627                  0
 "HKICKER"           "MDHW.51838"                  11.08465                  0                  0                  0        82.84647087        38.46548006        1.619681355      -0.8247517525      0.01820900363      0.05464440788        1.622093294                  0     -0.02575246627                  0
 "DRIFT"             "DRIFT_15"                   12.131275            2.09325                  0                  0        79.50398226        40.23974101        1.573906234      -0.8704695102      0.02026154457       0.0588788803        1.595140119                  0     -0.02575246627                  0
 "MARKER"            "AP1.UP.MDHW.51853"             13.1779                  0                  0                  0        76.25731242        42.10970067        1.528131114       -0.916187268      0.02240093045      0.06292593779        1.568186944                  0     -0.02575246627                  0
 "DRIFT"             "DRIFT_16"                     13.5829               0.81                  0                  0        75.02670001        42.85897715        1.510418061      -0.9338781237        0.023253105      0.06444323184        1.557757195                  0     -0.02575246627                  0
 "MARKER"            "AP2.UP.MDHW.51853"             13.9879                  0                  0                  0        73.81043516        43.62258323        1.492705008      -0.9515689795      0.02411928967      0.06593398217        1.547327446                  0     -0.02575246627                  0
